class_code,class_name,is_scored,score_method,is_multi_scored,multi_score_method,is_team_class,team_classes
1,Beginner,FALSE,,FALSE,,FALSE,
3,Intermediate,FALSE,,FALSE,,FALSE,
7,Short Advanced,FALSE,,FALSE,,FALSE,
8F,Long Advanced Female,TRUE,WIOL-indv,FALSE,,FALSE,
8M,Long Advanced Male,TRUE,WIOL-indv,FALSE,,FALSE,
8G,Long Advanced Group,FALSE,,FALSE,,FALSE,
W1F,Elementary Girls,TRUE,WIOL-indv,FALSE,,FALSE,
W1M,Elementary Boys,TRUE,WIOL-indv,FALSE,,FALSE,
W2F,Middle School Girls,TRUE,WIOL-indv,FALSE,,FALSE,
W2M,Middle School Boys,TRUE,WIOL-indv,FALSE,,FALSE,
W3F,JV Girls,TRUE,WIOL-indv,FALSE,,FALSE,
W4M,JV Boys North,TRUE,WIOL-indv,FALSE,,FALSE,
W5M,JV Boys South,TRUE,WIOL-indv,FALSE,,FALSE,
W6F,Varsity Girls,TRUE,WIOL-indv,FALSE,,FALSE,
W6M,Varsity Boys,TRUE,WIOL-indv,FALSE,,FALSE,
